iter,mse,r_squared,max_obs,a,l1,l2
0,0.00765504015741347,0.887930838588556,0.909090909090909,0.363989,0.4269525,0.674399
1,0.00842869589339486,0.876604581930238,0.909090909090909,0.341918,0.3621565,0.647059
2,0.00577522472520885,0.915451182670806,0.909090909090909,0.32498,0.258449,0.691191
3,0.00803279955097447,0.882400471982878,0.909090909090909,0.3193795,0.245285,0.5184335
4,0.00461809355087383,0.93239148836276,0.909090909090909,0.2961725,0.258677,0.39926
5,0.00398288017181831,0.941690960245888,0.909090909090909,0.2964595,0.218899,0.4309715
6,0.00381945166250544,0.944083540247141,0.909090909090909,0.2888495,0.22497,0.417661
7,0.00283610067565711,0.958479718216564,0.909090909090909,0.2923855,0.218085,0.3960785
8,0.00298265171987077,0.956334222923102,0.909090909090909,0.287374,0.2194435,0.3856525
