iter,mse,r_squared,max_obs,a,l1,l2
0,0.00765376183735684,0.887949553089566,0.909090909090909,0.363011,0.428219,0.6748925
1,0.021472189341148,0.685648905342478,0.98989898989899,0.3886265,0.485718,0.203845
2,0.00924257811283583,0.864689412846233,0.98989898989899,0.3609535,0.2788795,0.331166
3,0.00496387520392115,0.927329273261125,0.98989898989899,0.3512705,0.267901,0.283666
4,0.00528400154682036,0.922642649800413,0.98989898989899,0.3486385,0.2079175,0.3289735
5,0.00624729307797601,0.908540140620653,1,0.369755,0.19969,0.226939
6,0.00658199341955913,0.903640155011953,1,0.3633525,0.198924,0.1969015
7,0.0157150060840158,0.769933597055555,1,0.390138,0.2126635,0.1250025
8,0.0202541264910319,0.703481245781182,1,0.4088455,0.19881,0.117544
